`id_grp`,`id_dep`,`dir_code`,`dir_title`,`dir_level`,`title`,`form`,`plan`,`cell`,`podano_budget`,`podano_vnebudget`,`nabor`,`podano`
1297,11,48.03.01,Теология,3,"Бюджет/Общие места",0,11,0,14,0,11,14
1298,11,47.03.03,Религиоведение,3,"Бюджет/Общие места",0,8,0,19,0,8,19
1299,11,47.03.01,Философия,3,"Бюджет/Общие места",0,8,0,59,0,8,59
1300,4,11.03.02,"Инфокоммуникационные технологии и системы связи",3,"Бюджет/Общие места",0,5,0,50,0,5,50
1301,4,27.03.02,"Управление качеством",3,"Бюджет/Общие места",0,1,0,12,0,1,12
1302,16,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,6,0,118,0,6,118
1303,21,40.05.04,"Судебная и прокурорская деятельность",5,"Бюджет/Общие места",2,0,0,16,0,0,16
1304,21,42.03.01,"Реклама и связи с общественностью",3,"Бюджет/Общие места",1,6,0,42,0,6,42
1305,3,06.03.01,Биология,3,"Целевой прием",0,0,3,2,0,3,2
1306,15,44.03.01,"Педагогическое образование",3,"Целевой прием",0,0,4,2,0,4,2
1307,5,05.03.02,География,3,"Целевой прием",0,0,1,0,0,1,0
1308,5,05.03.03,"Картография и геоинформатика",3,"Целевой прием",0,0,2,1,0,2,1
1309,5,05.03.05,"Прикладная гидрометеорология",3,"Целевой прием",0,0,2,0,0,2,0
1310,5,05.03.06,"Экология и природопользование",3,"Целевой прием",0,0,2,0,0,2,0
1311,15,44.03.01,"Педагогическое образование",3,"Целевой прием",2,0,5,2,0,5,2
1313,6,21.05.02,"Прикладная геология",5,"Целевой прием",0,0,3,0,0,3,0
1314,6,21.05.02,"Прикладная геология",5,"Целевой прием",2,0,2,0,0,2,0
1315,1,01.03.02,"Прикладная математика и информатика",3,"Целевой прием",0,0,5,1,0,5,1
1316,1,01.03.03,"Механика и математическое моделирование",3,"Целевой прием",0,0,1,0,0,1,0
1317,1,02.03.01,"Математика и компьютерные науки",3,"Целевой прием",0,0,5,0,0,5,0
1320,1,09.03.03,"Прикладная информатика",3,"Целевой прием",2,0,1,0,0,1,0
1321,7,09.03.03,"Прикладная информатика",3,"Целевой прием",2,0,1,0,0,1,0
1322,1,38.03.05,Бизнес-информатика,3,"Целевой прием",0,0,1,1,0,1,1
1323,15,44.03.01,"Педагогическое образование",3,"Целевой прием",0,0,8,15,0,8,15
1324,15,44.03.01,"Педагогическое образование",3,"Целевой прием",2,0,5,0,0,5,0
1325,4,03.03.01,"Прикладные математика и физика",3,"Целевой прием",0,0,1,0,0,1,0
1326,4,03.03.02,Физика,3,"Целевой прием",0,0,0,0,0,0,0
1327,4,03.03.03,Радиофизика,3,"Целевой прием",0,0,0,0,0,0,0
1328,4,09.03.02,"Информационные системы и технологии",3,"Целевой прием",0,0,2,0,0,2,0
1329,4,11.03.02,"Инфокоммуникационные технологии и системы связи",3,"Целевой прием",0,0,1,0,0,1,0
1330,4,11.03.03,"Конструирование и технология электронных средств",3,"Целевой прием",0,0,2,0,0,2,0
1331,4,11.03.04,"Электроника и наноэлектроника",3,"Целевой прием",0,0,0,0,0,0,0
1332,4,12.03.04,"Биотехнические системы и технологии",3,"Целевой прием",0,0,1,0,0,1,0
1333,4,22.03.01,"Материаловедение и технологии материалов",3,"Целевой прием",0,0,0,0,0,0,0
1334,4,27.03.05,Инноватика,3,"Целевой прием",0,0,1,0,0,1,0
1335,4,27.03.02,"Управление качеством",3,"Целевой прием",0,0,0,0,0,0,0
1336,15,44.03.01,"Педагогическое образование",3,"Целевой прием",0,0,6,1,0,6,1
1337,15,44.03.01,"Педагогическое образование",3,"Целевой прием",2,0,3,0,0,3,0
1338,12,30.05.02,"Медицинская биофизика",5,"Целевой прием",0,0,2,0,0,2,0
1339,12,30.05.03,"Медицинская кибернетика",5,"Целевой прием",0,0,2,0,0,2,0
1340,12,30.05.01,"Медицинская биохимия",5,"Целевой прием",0,0,3,0,0,3,0
1341,1,09.03.03,"Прикладная информатика",3,"Целевой прием",0,0,3,0,0,3,0
1342,7,09.03.03,"Прикладная информатика",3,"Целевой прием",0,0,1,0,0,1,0
1343,7,39.03.01,Социология,3,"Целевой прием",0,0,1,0,0,1,0
